Actual SRT

Timestamp,Signal Value
Tue Mar 08 2022 06:15:36 GMT+0000 (Greenwich Mean Time),5.88582
Tue Mar 08 2022 06:30:37 GMT+0000 (Greenwich Mean Time),5.88337
Tue Mar 08 2022 06:45:37 GMT+0000 (Greenwich Mean Time),5.88112
Tue Mar 08 2022 07:00:36 GMT+0000 (Greenwich Mean Time),5.88157
Tue Mar 08 2022 07:15:37 GMT+0000 (Greenwich Mean Time),5.87703
Tue Mar 08 2022 07:30:37 GMT+0000 (Greenwich Mean Time),5.87501
Tue Mar 08 2022 07:45:37 GMT+0000 (Greenwich Mean Time),5.8731
Tue Mar 08 2022 08:00:37 GMT+0000 (Greenwich Mean Time),5.87392
Tue Mar 08 2022 08:15:38 GMT+0000 (Greenwich Mean Time),5.86965
Tue Mar 08 2022 08:30:39 GMT+0000 (Greenwich Mean Time),5.86793
Tue Mar 08 2022 08:45:38 GMT+0000 (Greenwich Mean Time),5.86628
Tue Mar 08 2022 09:00:39 GMT+0000 (Greenwich Mean Time),5.86705
Tue Mar 08 2022 09:15:39 GMT+0000 (Greenwich Mean Time),5.86296
Tue Mar 08 2022 09:30:40 GMT+0000 (Greenwich Mean Time),5.86131
Tue Mar 08 2022 09:45:40 GMT+0000 (Greenwich Mean Time),5.85974
Tue Mar 08 2022 10:00:40 GMT+0000 (Greenwich Mean Time),5.86079
Tue Mar 08 2022 10:15:40 GMT+0000 (Greenwich Mean Time),5.85661
Tue Mar 08 2022 10:30:41 GMT+0000 (Greenwich Mean Time),5.8551
Tue Mar 08 2022 10:45:41 GMT+0000 (Greenwich Mean Time),5.85361
Tue Mar 08 2022 11:00:41 GMT+0000 (Greenwich Mean Time),5.85449
Tue Mar 08 2022 11:15:41 GMT+0000 (Greenwich Mean Time),5.85012
Tue Mar 08 2022 11:30:42 GMT+0000 (Greenwich Mean Time),5.84848
Tue Mar 08 2022 11:45:42 GMT+0000 (Greenwich Mean Time),5.84672
Tue Mar 08 2022 12:00:42 GMT+0000 (Greenwich Mean Time),5.8471
Tue Mar 08 2022 12:15:42 GMT+0000 (Greenwich Mean Time),5.8425
Tue Mar 08 2022 12:30:42 GMT+0000 (Greenwich Mean Time),5.84059
Tue Mar 08 2022 12:45:42 GMT+0000 (Greenwich Mean Time),5.83852
Tue Mar 08 2022 13:00:43 GMT+0000 (Greenwich Mean Time),5.83819
Tue Mar 08 2022 13:15:43 GMT+0000 (Greenwich Mean Time),5.83345
Tue Mar 08 2022 13:30:43 GMT+0000 (Greenwich Mean Time),5.83117
Tue Mar 08 2022 13:45:43 GMT+0000 (Greenwich Mean Time),5.8289
Tue Mar 08 2022 14:00:44 GMT+0000 (Greenwich Mean Time),5.82889
Tue Mar 08 2022 14:15:45 GMT+0000 (Greenwich Mean Time),5.82405
Tue Mar 08 2022 14:30:45 GMT+0000 (Greenwich Mean Time),5.82184
Tue Mar 08 2022 14:45:45 GMT+0000 (Greenwich Mean Time),5.81959
Tue Mar 08 2022 15:00:45 GMT+0000 (Greenwich Mean Time),5.81952
Tue Mar 08 2022 15:15:46 GMT+0000 (Greenwich Mean Time),5.81494
Tue Mar 08 2022 15:30:45 GMT+0000 (Greenwich Mean Time),5.8127
Tue Mar 08 2022 15:45:46 GMT+0000 (Greenwich Mean Time),5.81054
Tue Mar 08 2022 16:00:47 GMT+0000 (Greenwich Mean Time),5.81068
Tue Mar 08 2022 16:15:46 GMT+0000 (Greenwich Mean Time),5.8068
Tue Mar 08 2022 16:30:47 GMT+0000 (Greenwich Mean Time),5.80456
Tue Mar 08 2022 16:45:48 GMT+0000 (Greenwich Mean Time),5.80238
Tue Mar 08 2022 17:00:47 GMT+0000 (Greenwich Mean Time),5.80271
Tue Mar 08 2022 17:15:48 GMT+0000 (Greenwich Mean Time),5.79879
Tue Mar 08 2022 17:30:48 GMT+0000 (Greenwich Mean Time),5.79654
