Time,DO,Month,NH4,NO3,Temperature
2018-02-23T03:00:00.000Z,1.7,2,3.422266666666667,0.0,
2018-02-23T04:00:00.000Z,1.6,2,3.422266666666667,0.0,
2018-02-23T05:00:00.000Z,1.8,2,3.422266666666667,0.0,
2018-02-23T06:00:00.000Z,1.8,2,3.412266666666667,0.0,
2018-02-23T07:00:00.000Z,1.3,2,3.4022666666666668,0.0,
2018-02-23T08:00:00.000Z,1.6,2,3.4022666666666668,0.0,
2018-02-23T09:00:00.000Z,1.4,2,3.4022666666666668,0.0,
2018-02-23T10:00:00.000Z,1.0,2,3.412266666666667,0.0,
2018-02-23T11:00:00.000Z,1.2,2,3.432266666666667,0.0,
2018-02-23T12:00:00.000Z,1.0,2,3.482266666666667,0.0,
2018-02-23T13:00:00.000Z,0.7,2,3.5322666666666667,0.0,
2018-02-23T14:00:00.000Z,1.0,2,3.552266666666667,0.0,
2018-02-23T15:00:00.000Z,1.2,2,3.5722666666666667,0.0,
2018-02-23T16:00:00.000Z,1.2,2,3.582266666666667,0.0,
2018-02-23T17:00:00.000Z,1.1,2,3.5722666666666667,0.0,
2018-02-23T18:00:00.000Z,1.2,2,3.562266666666667,0.0,
2018-02-23T19:00:00.000Z,1.2,2,3.5722666666666667,0.0,
2018-02-23T20:00:00.000Z,1.2,2,3.5922666666666667,0.0,
2018-02-23T21:00:00.000Z,1.3,2,3.582266666666667,0.0,
2018-02-23T22:00:00.000Z,1.5,2,3.582266666666667,0.0,
2018-02-23T23:00:00.000Z,1.6,2,3.552266666666667,0.0,
2018-02-24T00:00:00.000Z,1.7,2,3.522266666666667,0.0,10.0
2018-02-24T01:00:00.000Z,1.6,2,3.502266666666667,0.0,
2018-02-24T02:00:00.000Z,1.4,2,3.502266666666667,0.0,
2018-02-24T03:00:00.000Z,2.0,2,3.482266666666667,0.0,
2018-02-24T04:00:00.000Z,2.5,2,3.452266666666667,0.0,
2018-02-24T05:00:00.000Z,2.4,2,3.442266666666667,0.0,
2018-02-24T06:00:00.000Z,2.6,2,3.452266666666667,0.0,
2018-02-24T07:00:00.000Z,2.4,2,3.452266666666667,0.0,
2018-02-24T08:00:00.000Z,2.4,2,3.432266666666667,0.0,
2018-02-24T09:00:00.000Z,2.3,2,3.422266666666667,0.0,
2018-02-24T10:00:00.000Z,2.2,2,3.412266666666667,0.0,
2018-02-24T11:00:00.000Z,1.5,2,3.412266666666667,0.0,
2018-02-24T12:00:00.000Z,0.7,2,3.432266666666667,0.0,
2018-02-24T13:00:00.000Z,0.7,2,3.462266666666667,0.0,
2018-02-24T14:00:00.000Z,0.7,2,3.582266666666667,0.0,
2018-02-24T15:00:00.000Z,0.8,2,3.642266666666667,0.0,
2018-02-24T16:00:00.000Z,0.9,2,3.6122666666666667,0.0,
2018-02-24T17:00:00.000Z,1.0,2,3.5722666666666667,0.0,
2018-02-24T18:00:00.000Z,1.2,2,3.552266666666667,0.0,
2018-02-24T19:00:00.000Z,1.2,2,3.522266666666667,0.0,
2018-02-24T20:00:00.000Z,1.4,2,3.492266666666667,0.0,
2018-02-24T21:00:00.000Z,1.6,2,3.472266666666667,0.0,
2018-02-24T22:00:00.000Z,2.0,2,3.462266666666667,0.0,
2018-02-24T23:00:00.000Z,2.1,2,3.472266666666667,0.0,
2018-02-25T00:00:00.000Z,2.1,2,3.482266666666667,0.0,11.11111111111111
2018-02-25T01:00:00.000Z,1.4,2,3.492266666666667,0.0,
2018-02-25T02:00:00.000Z,1.2,2,3.792266666666667,0.0,
2018-02-25T03:00:00.000Z,2.0,2,4.152266666666667,0.0,
2018-02-25T04:00:00.000Z,2.3,2,4.092266666666667,0.0,
2018-02-25T05:00:00.000Z,1.5,2,3.8222666666666667,0.0,
2018-02-25T06:00:00.000Z,0.9,2,3.692266666666667,0.0,
2018-02-25T07:00:00.000Z,1.0,2,3.832266666666667,0.0,
2018-02-25T08:00:00.000Z,1.0,2,4.1222666666666665,0.0,
2018-02-25T09:00:00.000Z,1.1,2,4.252266666666667,0.0,
2018-02-25T10:00:00.000Z,1.0,2,4.172266666666667,0.0,
2018-02-25T11:00:00.000Z,1.0,2,4.092266666666667,0.0,
2018-02-25T12:00:00.000Z,0.9,2,4.182266666666667,0.0,
2018-02-25T13:00:00.000Z,1.1,2,4.362266666666667,0.0,
2018-02-25T14:00:00.000Z,1.1,2,4.442266666666667,0.0,
2018-02-25T15:00:00.000Z,0.9,2,4.352266666666667,0.0,
2018-02-25T16:00:00.000Z,1.1,2,4.132266666666667,0.0,
2018-02-25T17:00:00.000Z,1.4,2,3.8622666666666667,0.0,
2018-02-25T18:00:00.000Z,1.5,2,3.712266666666667,0.0,
2018-02-25T19:00:00.000Z,1.4,2,3.712266666666667,0.0,
2018-02-25T20:00:00.000Z,1.2,2,3.692266666666667,0.0,
2018-02-25T21:00:00.000Z,1.2,2,3.6122666666666667,0.0,
2018-02-25T22:00:00.000Z,1.2,2,3.542266666666667,0.0,
2018-02-25T23:00:00.000Z,1.2,2,3.522266666666667,0.0,
2018-02-26T00:00:00.000Z,1.3,2,3.562266666666667,0.0,11.11111111111111
2018-02-26T01:00:00.000Z,1.4,2,3.6322666666666668,0.0,
2018-02-26T02:00:00.000Z,1.4,2,3.6122666666666667,0.0,
2018-02-26T03:00:00.000Z,1.0,2,3.522266666666667,0.0,
2018-02-26T04:00:00.000Z,0.9,2,3.462266666666667,0.0,
2018-02-26T05:00:00.000Z,0.8,2,3.712266666666667,0.0,
2018-02-26T06:00:00.000Z,0.8,2,4.132266666666667,0.0,
2018-02-26T07:00:00.000Z,0.9,2,4.222266666666667,0.0,
