Time,NO3 Effluent
2018-06-04T14:59:00.000Z,4.81678
2018-06-04T15:59:00.000Z,4.99722
2018-06-04T16:59:00.000Z,4.79106
2018-06-04T17:59:00.000Z,4.541265
2018-06-04T18:59:00.000Z,4.79061
2018-06-04T19:59:00.000Z,5.027975
2018-06-04T20:59:00.000Z,4.90622
2018-06-04T21:59:00.000Z,4.89669
2018-06-04T22:59:00.000Z,5.154285
2018-06-04T23:59:00.000Z,5.36913
2018-06-05T00:59:00.000Z,5.39089
2018-06-05T01:59:00.000Z,5.39089
2018-06-05T02:59:00.000Z,5.58146
2018-06-05T03:59:00.000Z,5.7242
2018-06-05T04:59:00.000Z,5.67637
2018-06-05T05:59:00.000Z,5.55609
2018-06-05T06:59:00.000Z,5.308755
2018-06-05T07:59:00.000Z,3.474502
2018-06-05T08:59:00.000Z,5.145305
2018-06-05T09:59:00.000Z,5.0915
2018-06-05T10:59:00.000Z,4.912675
2018-06-05T11:59:00.000Z,4.78062
2018-06-05T12:59:00.000Z,4.78062
2018-06-05T13:59:00.000Z,4.78062
2018-06-05T14:59:00.000Z,4.78062
2018-06-05T15:59:00.000Z,4.78062
2018-06-05T16:59:00.000Z,4.78062
2018-06-05T17:59:00.000Z,4.78062
2018-06-05T18:59:00.000Z,4.78062
2018-06-05T19:59:00.000Z,5.438095
2018-06-05T20:59:00.000Z,6.09557
2018-06-05T21:59:00.000Z,6.09557
2018-06-05T22:59:00.000Z,6.09557
2018-06-05T23:59:00.000Z,6.09557
2018-06-06T00:59:00.000Z,6.09557
2018-06-06T01:59:00.000Z,6.09557
2018-06-06T02:59:00.000Z,6.09557
2018-06-06T03:59:00.000Z,6.09557
2018-06-06T04:59:00.000Z,6.09557
2018-06-06T05:59:00.000Z,6.113805
2018-06-06T06:59:00.000Z,6.13204
2018-06-06T07:59:00.000Z,6.13204
2018-06-06T08:59:00.000Z,6.13204
2018-06-06T09:59:00.000Z,5.797185
2018-06-06T10:59:00.000Z,5.46233
2018-06-06T11:59:00.000Z,5.46233
2018-06-06T12:59:00.000Z,5.46233
2018-06-06T13:59:00.000Z,5.46233
2018-06-06T14:59:00.000Z,5.03488
2018-06-06T15:59:00.000Z,4.60743
2018-06-06T16:59:00.000Z,4.60743
2018-06-06T17:59:00.000Z,4.60743
2018-06-06T18:59:00.000Z,4.69926
2018-06-06T19:59:00.000Z,4.79109
2018-06-06T20:59:00.000Z,4.79109
2018-06-06T21:59:00.000Z,5.47264
2018-06-06T22:59:00.000Z,6.15419
2018-06-06T23:59:00.000Z,6.15419
2018-06-07T00:59:00.000Z,6.15419
2018-06-07T01:59:00.000Z,6.15419
2018-06-07T02:59:00.000Z,6.986475
2018-06-07T03:59:00.000Z,6.446485
