,Time,DO,Month,NH4,NO3,Temperature
61,2018-02-22T13:00:00.000Z,1.8,2,3.502266666666667,0.0,10.555555555555555
62,2018-02-22T14:00:00.000Z,1.3,2,3.522266666666667,0.0,10.555555555555555
63,2018-02-22T15:00:00.000Z,1.3,2,3.542266666666667,0.0,10.555555555555555
64,2018-02-22T16:00:00.000Z,1.6,2,3.562266666666667,0.0,10.555555555555555
65,2018-02-22T17:00:00.000Z,1.4,2,3.602266666666667,0.0,10.555555555555555
66,2018-02-22T18:00:00.000Z,0.9,2,3.642266666666667,0.0,10.555555555555555
67,2018-02-22T19:00:00.000Z,1.0,2,3.6522666666666663,0.0,10.555555555555555
68,2018-02-22T20:00:00.000Z,1.7,2,3.622266666666667,0.0,10.555555555555555
69,2018-02-22T21:00:00.000Z,2.2,2,3.5322666666666667,0.0,10.555555555555555
70,2018-02-22T22:00:00.000Z,2.0,2,3.452266666666667,0.0,10.555555555555555
71,2018-02-22T23:00:00.000Z,1.9,2,3.412266666666667,0.0,10.555555555555555
72,2018-02-23T00:00:00.000Z,2.0,2,3.412266666666667,0.0,10.555555555555555
73,2018-02-23T01:00:00.000Z,1.9,2,3.432266666666667,0.0,10.555555555555555
74,2018-02-23T02:00:00.000Z,1.9,2,3.432266666666667,0.0,10.555555555555555
75,2018-02-23T03:00:00.000Z,1.7,2,3.422266666666667,0.0,10.555555555555555
76,2018-02-23T04:00:00.000Z,1.6,2,3.422266666666667,0.0,10.555555555555555
77,2018-02-23T05:00:00.000Z,1.8,2,3.422266666666667,0.0,10.555555555555555
78,2018-02-23T06:00:00.000Z,1.8,2,3.412266666666667,0.0,10.555555555555555
79,2018-02-23T07:00:00.000Z,1.3,2,3.4022666666666668,0.0,10.555555555555555
80,2018-02-23T08:00:00.000Z,1.6,2,3.4022666666666668,0.0,10.555555555555555
81,2018-02-23T09:00:00.000Z,1.4,2,3.4022666666666668,0.0,10.555555555555555
82,2018-02-23T10:00:00.000Z,1.0,2,3.412266666666667,0.0,10.555555555555555
83,2018-02-23T11:00:00.000Z,1.2,2,3.432266666666667,0.0,10.555555555555555
84,2018-02-23T12:00:00.000Z,1.0,2,3.482266666666667,0.0,10.555555555555555
85,2018-02-23T13:00:00.000Z,0.7,2,3.5322666666666667,0.0,10.555555555555555
86,2018-02-23T14:00:00.000Z,1.0,2,3.552266666666667,0.0,10.555555555555555
87,2018-02-23T15:00:00.000Z,1.2,2,3.5722666666666667,0.0,10.555555555555555
88,2018-02-23T16:00:00.000Z,1.2,2,3.582266666666667,0.0,10.555555555555555
89,2018-02-23T17:00:00.000Z,1.1,2,3.5722666666666667,0.0,10.555555555555555
90,2018-02-23T18:00:00.000Z,1.2,2,3.562266666666667,0.0,10.555555555555555
91,2018-02-23T19:00:00.000Z,1.2,2,3.5722666666666667,0.0,10.555555555555555
92,2018-02-23T20:00:00.000Z,1.2,2,3.5922666666666667,0.0,10.555555555555555
93,2018-02-23T21:00:00.000Z,1.3,2,3.582266666666667,0.0,10.555555555555555
94,2018-02-23T22:00:00.000Z,1.5,2,3.582266666666667,0.0,10.555555555555555
95,2018-02-23T23:00:00.000Z,1.6,2,3.552266666666667,0.0,10.555555555555555
96,2018-02-24T00:00:00.000Z,1.7,2,3.522266666666667,0.0,10.0
97,2018-02-24T01:00:00.000Z,1.6,2,3.502266666666667,0.0,10.0
98,2018-02-24T02:00:00.000Z,1.4,2,3.502266666666667,0.0,10.0
99,2018-02-24T03:00:00.000Z,2.0,2,3.482266666666667,0.0,10.0
100,2018-02-24T04:00:00.000Z,2.5,2,3.452266666666667,0.0,10.0
101,2018-02-24T05:00:00.000Z,2.4,2,3.442266666666667,0.0,10.0
102,2018-02-24T06:00:00.000Z,2.6,2,3.452266666666667,0.0,10.0
103,2018-02-24T07:00:00.000Z,2.4,2,3.452266666666667,0.0,10.0
104,2018-02-24T08:00:00.000Z,2.4,2,3.432266666666667,0.0,10.0
105,2018-02-24T09:00:00.000Z,2.3,2,3.422266666666667,0.0,10.0
106,2018-02-24T10:00:00.000Z,2.2,2,3.412266666666667,0.0,10.0
107,2018-02-24T11:00:00.000Z,1.5,2,3.412266666666667,0.0,10.0
108,2018-02-24T12:00:00.000Z,0.7,2,3.432266666666667,0.0,10.0
109,2018-02-24T13:00:00.000Z,0.7,2,3.462266666666667,0.0,10.0
110,2018-02-24T14:00:00.000Z,0.7,2,3.582266666666667,0.0,10.0
111,2018-02-24T15:00:00.000Z,0.8,2,3.642266666666667,0.0,10.0
112,2018-02-24T16:00:00.000Z,0.9,2,3.6122666666666663,0.0,10.0
113,2018-02-24T17:00:00.000Z,1.0,2,3.5722666666666667,0.0,10.0
114,2018-02-24T18:00:00.000Z,1.2,2,3.552266666666667,0.0,10.0
115,2018-02-24T19:00:00.000Z,1.2,2,3.522266666666667,0.0,10.0
116,2018-02-24T20:00:00.000Z,1.4,2,3.492266666666667,0.0,10.0
117,2018-02-24T21:00:00.000Z,1.6,2,3.472266666666667,0.0,10.0
118,2018-02-24T22:00:00.000Z,2.0,2,3.462266666666667,0.0,10.0
119,2018-02-24T23:00:00.000Z,2.1,2,3.472266666666667,0.0,10.0
